// Names where there was at least one year since 2010
// where there were 250 boys and 500 girls with that name.

Jessie
Charlie
Harley
Emery
Riley
Emory
Taylor
Morgan
Emerson
Jordan
Elliott
Dallas
Parker
Logan
Finley
Avery
Reese
Hayden
Justice
Nova
Payton
Carter
Harper
Alexis
Cameron
Blake
Jamie
Oakley
Peyton
London
Angel
Ariel
Leighton
Ryan
Kendall
Sutton
Sawyer
Lennon
Marley
Remy
Dakota
Quinn
Rowan
Eden
Sage
Lyric
Rory
Dylan
Skyler
Remington
Skylar
Tatum
Phoenix
Shiloh
River
Kamryn
Camryn
Amari
Jayden
Jordyn
Teagan
Rylee
Kayden
