// Scraped the USDA list of culturally significant plants [1]
// and Wikipedia's list of common plants by name [2]
// and checked where it overlapped with Social Security Administration's
// list of names since 1880.
//
// [1]: https://plants.sc.egov.usda.gov/java/factSheet?cultural=yes
// [2]: https://en.wikipedia.org/wiki/List_of_plants_by_common_name

Rose
Myrtle
Daisy
Rosa
Belle
Viola
Olive
Virginia
Violet
Lily
Ivy
Iris
Fern
Florida
Magnolia
Alba
Cherry
Green
Berry
Pink
Rush
Jule
Orange
Reed
Rosemary
Lemon
Almond
Laurel
Herb
Willow
Moss
Nile
Maple
Clover
Vanilla
Ambrosia
Alder
Jasmine
Field
Fair
Honey
Aster
Evergreen
Argentina
Heath
Birch
Meadow
Primrose
Glory
Limon
Olea
Vi
Cotton
Poppy
Vine
Woodland
Oak
Bower
Camellia
Sage
Pear
Cress
Garden
Orchid
Pepper
Spring
Nomi
Chrysanthemum
Lavender
Cinnamon
Blue
Juniper
Sativa
Mansa
Acacia
Apple
Asimina
Indigo
Leaf
Rye
Coco
Yarrow
Aspen
Sorrel
Camas
Flower
Saffron
Mahogany
Chia
Ash
Tea
Paradise
Sweet
Lilac
Blade
Indica
Tulsi
Tilia
Asian
Brier
Reginae
Thyme
Cane
Sunflower
Artemisia
Maize
Juni
Mael
Strawberry
Tulip
Huckleberry
Lilium
Acer
Carya
Trillium
Pacifica
Novi
Plum
Hay
Thistle
Posy
Albus
Wild
Lupin
Novae
