// Names that are trending upwards but aren't too popular.
// 
// 1. Compute a linear regression for the name's popularity
//    since 2010.
// 2. Compute the percent chance of having a classmate with
//    the same name.
// 3. Keep names where the regression line has a slope of 5 or greater,
//    and the chance of having a classmate with the same name is
//    between 1% and 10%.

Ida
Annie
Florence
Nellie
Mabel
Hattie
Edith
Helen
Louise
Frances
Lena
Pearl
Agnes
Della
Flora
Mae
Etta
Harriet
Elsie
Alma
Belle
Ruth
Viola
Jane
Virginia
Matilda
Irene
Ollie
Estella
Leona
Iva
Louisa
Estelle
Betty
Marion
Dorothy
Luella
Rosie
Millie
Winifred
Beatrice
Birdie
Myra
Sylvia
Mina
Lenora
Adelaide
Lettie
Helena
Cordelia
Lois
Hallie
Lina
Winnie
Cecelia
Ophelia
Loretta
Regina
Wilhelmina
Zella
Miriam
Zora
Octavia
Goldie
Nola
Aurelia
Clementine
Magdalena
Cleo
Evie
Frankie
Queen
Ira
Marjorie
Ila
Bonnie
Emmaline
Marcella
Serena
Emelia
Emmie
India
Joan
Willa
Mazie
Salome
Theodora
Fern
Rae
Adela
Althea
Amalia
Arie
Elinor
Indiana
Rosalia
Vada
Arizona
Bernadette
Evelina
Faye
Magnolia
Millicent
Eve
Zola
Camilla
Eleanora
Martina
Zelda
Elaine
Georgina
Gwendolyn
Letty
Love
Opal
Rosalee
Ruthie
Selena
Charley
Perry
Monroe
Anderson
Emory
Merritt
Sterling
Larkin
Raleigh
Beverly
Billie
Noel
Palmer
Hayes
Ivory
Quincy
Hollis
Ivey
Miller
Clarke
Denver
Edie
Justice
Kit
Zadie
Aura
Petra
Mercy
Ramona
Evangeline
Sybil
Veda
Elodie
Paris
Collins
Murphy
Arden
Blair
Ellison
Emry
Robin
Waverly
Rosemary
Rhea
Eileen
Lorraine
Mariam
Penny
Vienna
Harlow
Laurel
Beatrix
Marianna
Joy
Meredith
Maxine
Violetta
Adelina
Lilah
Elia
Sullivan
Gentry
Emmy
Greta
Lana
Thalia
Sloan
Daphne
Violette
Lara
Mira
Rosalind
Emmeline
Wren
Holland
Elouise
Gwen
Dahlia
Maisie
Mckinley
Marceline
Alena
Roslyn
Berkley
Astrid
Mara
Colette
Coralie
Frida
Royce
Hartley
Arabelle
Maddie
Celine
Dara
Lyra
Mavis
Leighton
Margot
Roselyn
Ramsey
Francesca
Princess
Elina
Maple
Reina
Rosemarie
Clover
Luciana
Elora
Leela
Rosalyn
^[Noella
Renata
Chandler
Sunny
Azalea
Annalee
Emerald
Amilia
Margo
Livia
Kingsley
Viviana
